世界排名,名字,财富(10亿美元),财富来源,国家/地区
1,杰夫·贝佐斯,1914亿美元,亚马逊,美国
2,埃隆·马斯克,1657亿美元,特斯拉,美国
3,伯纳德·阿诺特,1647亿美元,LVMH,法国
4,比尔·盖茨,1293亿美元,微软,美国
5,马克·扎克伯格,1140亿美元,Facebook,美国
6,沃伦•巴菲特,996亿美元,伯克希尔－哈撒韦公司,美国
7,拉里·埃里森,983亿美元,甲骨文软件,美国
8,拉里·佩奇,972亿美元,谷歌,美国
9,谢尔盖·布林,943亿美元,谷歌,美国
10,弗朗索瓦丝·贝当古-梅耶斯,780亿美元,欧莱雅,法国
11,穆克什·安巴尼,772亿美元,印度信诚工业集团,印度
12,阿曼西奥·奥特加,771亿美元,Zara,西班牙
13,史蒂夫·鲍尔默,738亿美元,微软,美国
14,卡洛斯·斯利姆·埃卢,665亿美元,America MovilSAB,墨西哥
15,艾丽斯·沃尔顿,660亿美元,沃尔玛,美国
16,吉姆·沃尔顿,642亿美元,沃尔玛,美国
17,罗伯森·沃尔顿,635亿美元,沃尔玛,美国
18,钟睒睒,626亿美元,农夫山泉,中国
19,马化腾,612亿美元,腾讯,中国
20,高塔姆·阿达尼,595亿美元,阿达尼集团,印度
21,迈克尔·布隆伯格,590亿美元,彭博社,美国
23,菲尔·耐特及家族,509亿美元,nike,美国
25,马云,475亿美元,阿里巴巴集团,中国
26,迈克尔·戴尔,475亿美元,戴尔,美国
28,丹尼尔·吉尔伯特,467亿美元,,美国
29,查尔斯·科赫,464亿美元,美国科氏工业集团,美国
31,S.罗伯森·沃尔顿,460亿美元,沃尔玛,美国
32,弗朗索瓦·皮诺特及家族,455亿美元,PPR集团,法国
33,孙正义,446亿美元,日本软银集团,日本
34,大卫·汤姆森,430亿美元,路透社,加拿大
35,柳井正,408亿美元,优衣库,日本
36,贝亚特·海斯特&小卡尔·阿尔布雷希特,392亿美元,Aldi零售连锁店,德国
37,迪特尔·施瓦茨,367亿美元,LIDL,德国
38,张一鸣,354亿美元,今日头条创始人,中国
39,何享健,350亿美元,美的集团,中国
40,乔瓦尼·费列罗,349亿美元,费列罗集团CEO,意大利
41,杨惠妍,347亿美元,碧桂园,中国
42,阿兰·韦特海默,345亿美元,香奈儿,法国
42,杰拉德·韦特海默,345亿美元,香奈儿,法国
44,莱恩·布拉瓦特尼克,325亿美元,华纳音乐集团,美国
45,李嘉诚,325亿美元,长江和记实业有限公司,中国
46,王卫,324亿美元,顺丰速运集团,中国
47,谢氏兄弟,323亿美元,泰国正大国际集团,泰国
48,李兆基,321亿美元,恒基兆业,中国
50,杰奎琳·马尔斯,313亿美元,玛氏公司,美国
50,约翰·马尔斯,313亿美元,玛氏公司,美国
52,秦英林,306亿美元,牧原食品,中国
54,克劳斯-迈克尔·库恩,296亿美元,德国德迅集团ceo,德国
55,苏珊娜·克拉腾,295亿美元,阿尔塔纳制药公司,德国
56,格尔曼·拉利阿·莫塔·维拉斯科,285亿美元,,墨西哥
58,弗拉基米尔·利辛,275亿美元,新利佩茨克冶金公司ceo,俄罗斯
59,弗拉基米尔·波塔宁,273亿美元,诺尔里斯克镍矿公司董事长|创始人,俄罗斯
60,庞康,267亿美元,海天味业董事长,中国
61,迪特里希·梅特舒兹,267亿美元,红牛公司,奥地利
62,莱昂纳多·戴尔·维吉奥,264亿美元,陆逊梯卡集团,意大利
63,许家印,262亿美元,中国恒大集团,中国
64,蒋仁生家族,257亿美元,,中国
65,伦纳德·劳德,257亿美元,雅诗·兰黛品牌的创始人,美国
66,希夫·纳达,255亿美元,信息技术,印度
67,滝崎武光,252亿美元,基恩士传感器创始人,日本
68,列昂尼德·米赫尔松,248亿美元,诺威特公司(Novatek)董事长,俄罗斯
69,托马斯·彼得菲,247亿美元,盈透,美国
70,王兴,246亿美元,,中国
71,詹姆斯·西蒙斯,246亿美元,文艺复兴科技公司创始人,美国
72,雷军,245亿美元,小米创始人,中国
73,伊里斯·冯特博纳,240亿美元,智利铜业公司Antofagasta控制人,智利
74,史蒂芬·施瓦茨曼,240亿美元,黑石集团董事长兼首席执行官,美国
75,斯特芬·科万特,240亿美元,宝马集团董事及股东,德国
76,吉娜·莱因哈特,236亿美元,汉考克勘探公司,澳大利亚
77,瓦吉特·阿列克佩罗夫,236亿美元,卢克石油公司总裁和董事会主席,俄罗斯
78,鲁伯特·默多克家族,230亿美元,世界报业大亨,美国
79,皮埃尔·奥米迪亚,228亿美元,易趣网的创始人,美国
80,格纳迪·季姆琴科,220亿美元,石油、天然气行业富豪,俄罗斯
81,李西廷,219亿美元,深圳迈瑞公司,中国
82,张志东,217亿美元,腾讯集团的创始人之一,中国
83,斯蒂芬·佩尔森,212亿美元,H&M服饰公司ceo,瑞典
84,阿比盖尔·约翰逊,209亿美元,美国富达投资集团ceo,美国
85,郑氏家族,207亿美元,零售,泰国
