职位名称,工作地点,薪资待遇,公司名称,职位描述,公司福利
python 爬虫工程师,南京·建邺区·奥体,10-15K,万得,"
                                    来这里我们一起完成：",定期体检，股票期权，节日福利，五险一金，零食下午茶，餐补，带薪年假，通讯补贴，员工旅游，补充医疗保险，交通补助，年终奖，住房补贴
爬虫工程师,南京·秦淮区·光华路,10-15K,天启云,"
                                    工作职责1、负责互联网公开数据数据爬取，包括新闻、论坛、新媒体、微信公众号、APP等多平台信息的抓取和分析。2、设计爬虫策略和防屏蔽规则，提升网页、app抓取效率和质量。3、优化数据采集流程，保证爬虫服务的稳定",餐补，高温假，加班补助，定期体检，节日福利，补充医疗保险，员工旅游，五险一金，年终奖，带薪年假
python爬虫工程师,南京·栖霞区·尧化,6-11K·13薪,钉子网络,"
                                    岗位职责",股票期权，交通补助，通讯补贴，节日福利，不打卡，全勤奖，五险一金，带薪年假，定期体检，零食下午茶，补充医疗保险，公积金全额，加班补助，员工旅游，年终奖
Python爬虫工程师（周末双休）,南京·建邺区·奥体,12-18K·14薪,万得,"
                                    1、了解网络爬虫，设计爬取、调度和抽取算法，优化系统；",五险一金，餐补，年终奖，通讯补贴，员工旅游，节日福利，住房补贴，定期体检，带薪年假，补充医疗保险，股票期权，交通补助，零食下午茶
python 爬虫工程师,南京·建邺区·奥体,10-15K,万得,"
                                    来这里我们一起完成：",补充医疗保险，定期体检，股票期权，五险一金，零食下午茶，节日福利，通讯补贴，带薪年假，住房补贴，交通补助，餐补，员工旅游，年终奖
python爬虫工程师,南京·栖霞区·马群,8-13K·14薪,中创碳投,"
                                    岗位职责：",补充医疗保险，员工旅游，年终奖，免费班车，五险一金，带薪年假，定期体检
高级爬虫工程师,南京·秦淮区·长白街,3-6K,涌亿思,"
                                    岗位职责：",五险一金
Python爬虫工程师（南京）,南京·建邺区·奥体,10-15K·14薪,万得,"
                                    来这里我们一起完成：",定期体检，住房补贴，员工旅游，补充医疗保险，股票期权，年终奖，零食下午茶，交通补助，通讯补贴，餐补，五险一金，节日福利，带薪年假
python爬虫工程师,南京·建邺区·奥体,10-15K,万得,"
                                    来这里我们一起完成：",餐补，补充医疗保险，年终奖，员工旅游，交通补助，节日福利，股票期权，零食下午茶，通讯补贴，住房补贴，五险一金，带薪年假，定期体检
Python爬虫工程师（南京）,南京·建邺区·奥体,10-15K·14薪,万得,"
                                    来这里我们一起完成：",节日福利，带薪年假，餐补，五险一金，交通补助，员工旅游，零食下午茶，通讯补贴，股票期权，住房补贴，年终奖，定期体检，补充医疗保险
业务爬虫工程师,南京·建邺区·奥体,11-20K·14薪,万得,"
                                    一、部门介绍（在技术，业务优势的介绍）：",通讯补贴，带薪年假，五险一金，员工旅游，补充医疗保险，年终奖，定期体检，交通补助，餐补，节日福利，股票期权，住房补贴，零食下午茶
爬虫专家,南京·玄武区·徐庄软件园,25-35K·14薪,苏宁金服集团,"
                                    一、部门介绍（在技术，业务优势的介绍）：",通讯补贴，带薪年假，五险一金，员工旅游，补充医疗保险，年终奖，定期体检，交通补助，餐补，节日福利，股票期权，住房补贴，零食下午茶
自研爬虫研发（全日制）,南京,18-35K,万得,"
                                    招聘业务爬虫工程师",五险一金，年终奖，通讯补贴，交通补助，餐补，零食下午茶，住房补贴，补充医疗保险，定期体检，员工旅游，带薪年假，节日福利，股票期权
业务爬虫工程师,南京·建邺区·奥体,15-30K,万得,"
                                    招聘业务爬虫工程师",交通补助，补充医疗保险，员工旅游，住房补贴，股票期权，节日福利，定期体检，餐补，通讯补贴，带薪年假，零食下午茶，年终奖，五险一金
业务爬虫工程师,南京·建邺区·奥体,15-25K,万得,"
                                    招聘业务爬虫工程师",通讯补贴，住房补贴，零食下午茶，补充医疗保险，带薪年假，餐补，员工旅游，交通补助，年终奖，五险一金，节日福利，股票期权，定期体检
爬虫开发工程师,南京·建邺区·雨润大街,12-17K,万得,"
                                    基于云计算的分布式爬虫平台，会接触到大数据数据处理和传输，分布式处理，大数据存储等最新的技术。要求有深入的网络应用经验，精通http协议，熟悉web开发者优先。",零食下午茶，节日福利，股票期权，交通补助，餐补，住房补贴，定期体检，年终奖，带薪年假，员工旅游，补充医疗保险，五险一金，通讯补贴
业务爬虫工程师,南京·建邺区·雨润大街,15-25K,万得,"
                                    工作职责：",住房补贴，通讯补贴，五险一金，节日福利，零食下午茶，年终奖，补充医疗保险，带薪年假，餐补，定期体检，交通补助，员工旅游，股票期权
python爬虫工程师（宏观经济数据）,南京·建邺区·奥体,14-25K·14薪,万得,"
                                    日T级别基于分布式云爬虫平台的大数据采集",零食下午茶，补充医疗保险，五险一金，股票期权，定期体检，住房补贴，节日福利，年终奖，交通补助，员工旅游，通讯补贴，餐补，带薪年假
python爬虫工程师（南京）,南京·建邺区·奥体,10-15K·14薪,万得,"
                                    敢闯敢拼施展才华，加入万得，追梦路上一起前行！",住房补贴，定期体检，餐补，交通补助，补充医疗保险，带薪年假，节日福利，零食下午茶，员工旅游，五险一金，通讯补贴，年终奖，股票期权
初级爬虫工程师,南京·雨花台区·南京南站,7-11K,北京新治科技有限...,"
                                    岗位职责：",带薪年假，五险一金
爬虫工程师,南京·雨花台区·铁心桥,15-30K,众能联合,"
                                    有丰富的爬虫经验，分布式爬虫架构的设计和实现，有丰富的爬虫反爬经验，混淆、瑞数js逆向、cookie加密等 对scrapy、以及scrapy-redis分布式爬虫框架源码有比较深的认识，且有过二次开发经验，且熟悉框架各个配置含义，并对框架的性能以及优化有较成熟的见解和尝试。 2. 对代理的功能和请求流向有熟悉的了解，且熟悉账号的饲养和账号池的构建，并对部分需要账号登陆的网站抓取有丰富的经验。 3.验证码，如滑块，点击图片中数字，旋转图片等有较成熟的破解经验。 对部署多爬虫抓取任务，制定定时策略，实现增量更新数据，有丰富的经验。
                                ",餐补，住房补贴，交通补助，股票期权，五险一金，员工旅游，晋升发展快速，通讯补贴，车补油补，年终奖，员工活动，年度调薪机制，体育活动，半年奖年终奖，系统化专培训，定期体检，零食下午茶，带薪年假，节日福利
数据技术支持工程师NJ（爬虫组）,南京·建邺区·奥体,9-14K,通联数据,"
                                    岗位职责：",交通补助，年终奖，餐补，零食下午茶，带薪年假，补充医疗保险，通讯补贴，五险一金，定期体检，节日福利
爬虫开发工程师（周末双休）,南京·建邺区·奥体,10-15K·14薪,万得,"
                                    基于云计算的分布式爬虫平台，会接触到大数据数据处理和传输，分布式处理，大数据存储等最新的技术。要求有深入的网络应用经验，精通http协议，熟悉web开发者优先。",补充医疗保险，定期体检，交通补助，带薪年假，五险一金，零食下午茶，通讯补贴，年终奖，股票期权，餐补，节日福利，住房补贴，员工旅游
Python爬虫/反爬开发实习（可转正）,南京·鼓楼区·湖南路,300-500元/天,购物党,"
                                    基于云计算的分布式爬虫平台，会接触到大数据数据处理和传输，分布式处理，大数据存储等最新的技术。要求有深入的网络应用经验，精通http协议，熟悉web开发者优先。",补充医疗保险，定期体检，交通补助，带薪年假，五险一金，零食下午茶，通讯补贴，年终奖，股票期权，餐补，节日福利，住房补贴，员工旅游
业务爬虫工程师,南京·建邺区·奥体,15-25K,Wind资讯,"
                                    招聘业务爬虫工程师",带薪年假，定期体检，年终奖，股票期权，五险一金，餐补，节日福利
python爬虫工程师,南京·建邺区·奥体,10-15K·14薪,万得,"
                                    来这里我们一起完成：",带薪年假，五险一金，通讯补贴，股票期权，定期体检，住房补贴，补充医疗保险，节日福利，餐补，年终奖，交通补助，员工旅游，零食下午茶
Python工程师（爬虫/反爬方向）,南京·鼓楼区·湖南路,15-30K·13薪,购物党,"
                                    来这里我们一起完成：",带薪年假，五险一金，通讯补贴，股票期权，定期体检，住房补贴，补充医疗保险，节日福利，餐补，年终奖，交通补助，员工旅游，零食下午茶
ESG大数据爬虫工程师,南京·建邺区·奥体,15-25K,Wind资讯,"
                                    招聘业务爬虫工程师",定期体检，五险一金，带薪年假，餐补，股票期权，年终奖，节日福利
自研爬虫工程师（全日制）,南京,18-35K,万得,"
                                    招聘业务爬虫工程师",零食下午茶，定期体检，年终奖，通讯补贴，交通补助，股票期权，餐补，节日福利，补充医疗保险，带薪年假，五险一金，员工旅游，住房补贴
爬虫工程师,南京·鼓楼区·五台山体育中心,9-14K·13薪,华扬联众,"
                                    岗位职责：",通讯补贴，定期体检，带薪年假，员工旅游，补充医疗保险，五险一金，节日福利，年终奖
